CODIGO_REGIONAL;NOMBRE_REGIONAL;CODIGO_CENTRO;NOMBRE_CENTRO;FICHA;PROGRAMA;VERSION_PROGRAMA;TIPO_FORMACION;RESPUESTA;FECHA_INICIO;FECHA_FIN;ESTADO_FICHA;APRENDICES_ACTIVOS;PROGRAMADA;CODIGO_PROGRAMA_ESPECIAL;PROGRAMA_ESPECIAL;CODIGO_CONVENIO;AMPLIACION_DE_COBERTURA;CONVENIO;EMPRESA_TIPO_DOCUMENTO;EMPRESA_NUMERO_DOCUMENTO;EMPRESA;TIPO_FICHA;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2974599;FORMULACION Y EVALUACION DE PROYECTOS;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-05-02 00:00:00.0;2024-05-08 00:00:00.0;En ejecucion;30;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2907024;FORTALECIMIENTO DE LAS COMPETENCIAS BLANDAS PARA LA VIDA Y LA PRODUCTIVIDAD;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-02-09 00:00:00.0;2024-02-15 00:00:00.0;Terminada;22;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934208;FORTALECIMIENTO DE LAS COMPETENCIAS BLANDAS PARA LA VIDA Y LA PRODUCTIVIDAD;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-03-07 00:00:00.0;2024-03-23 00:00:00.0;Terminada;24;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2935998;FORTALECIMIENTO DE LAS COMPETENCIAS BLANDAS PARA LA VIDA Y LA PRODUCTIVIDAD;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-03-12 00:00:00.0;2024-03-27 00:00:00.0;Terminada;19;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2955320;FORTALECIMIENTO DE LAS COMPETENCIAS BLANDAS PARA LA VIDA Y LA PRODUCTIVIDAD;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-04-04 00:00:00.0;2024-04-20 00:00:00.0;Terminada;24;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2980009;FORTALECIMIENTO DE LAS COMPETENCIAS BLANDAS PARA LA VIDA Y LA PRODUCTIVIDAD;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-05-04 00:00:00.0;2024-05-10 00:00:00.0;En ejecucion;22;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2929339;FORTALECIMIENTO EN LECTURA CRITICA PARA ARTICULACION CON LA MEDIA;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-03-16 00:00:00.0;2024-04-16 00:00:00.0;Terminada;23;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;8999990341;SERVICIO NACIONAL DE APRENDIZAJE - SENA;OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2909068;FRESADO CONVENCIONAL DE PIEZAS MECANICAS SENCILLAS;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-02-10 00:00:00.0;2024-04-13 00:00:00.0;Terminada;12;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2453331;FUNDAMENTOS DE CABLEADO, VOZ Y DATOS;1;NO A LA MEDIDA;CURSO ESPECIAL;2021-11-04 00:00:00.0;2021-12-15 00:00:00.0;Terminada;5;N;1008;ALIANZAS ESTRATEGICAS;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2946388;FUNDAMENTOS DE PROGRAMACIÓN;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-03-16 00:00:00.0;2024-04-02 00:00:00.0;Terminada;15;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2956470;FUNDAMENTOS DE PROGRAMACIÓN;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-04-05 00:00:00.0;2024-04-18 00:00:00.0;Terminada;12;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2915692;FUNDAMENTOS DE REDES DE DATOS;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-02-20 00:00:00.0;2024-03-06 00:00:00.0;Terminada;16;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;8999990341;SERVICIO NACIONAL DE APRENDIZAJE - SENA;OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2919716;FUNDAMENTOS DEL SISTEMA DE GESTION DE SEGURIDAD Y SALUD EN EL TRABAJO;3;NO A LA MEDIDA;CURSO ESPECIAL;2024-02-22 00:00:00.0;2024-03-07 00:00:00.0;Terminada;18;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;8999990341;SERVICIO NACIONAL DE APRENDIZAJE - SENA;OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2907039;FUNDAMENTOS EN ADMINISTRACION DEPORTIVA;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-02-08 00:00:00.0;2024-03-21 00:00:00.0;Terminada;39;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2929262;FUNDAMENTOS EN ADMINISTRACION DEPORTIVA;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-03-04 00:00:00.0;2024-04-22 00:00:00.0;Terminada;40;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2955530;FUNDAMENTOS EN ADMINISTRACION DEPORTIVA;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-04-11 00:00:00.0;2024-04-27 00:00:00.0;Terminada por fecha;30;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2975285;GENERACION DE IDEAS PARA UN NEGOCIO INNOVADOR;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-04-27 00:00:00.0;2024-05-03 00:00:00.0;Terminada;17;S;0;;8842;N;ACUERDO NO. 0003 DE 2023  POR EL CUAL SE CREA LA ESTRATEGIA CAMPE-SENA, EL PROGRAMA DE FORMACIÓN ESPECIALIZADA PARA LA ECONOMÍA CAMPESINA - FEEC, EN EL SERVICIO NACIONAL DE APRENDIZAJE;NIT;901419737;ASOAPICAUCA;OTRO;
